mag_diff_1,mag_diff_2,mag_diff_3,diff_1,diff_2,diff_3,Var3_1,Var3_2,Var3_3,Var4
0.092052,0.062006,0,0,7.1094,2.8125,0.10875,0.0787,0.016694,5
8.49E-05,0.12936,0,18.438,0,1.6406,0.058055,0.18733,0.05797,2
0.034548,0.097844,0,0,0.70313,68.594,0.050127,0.11342,0.015579,6
0.060401,0.060783,0,0,4.375,6.1719,0.080651,0.081033,0.02025,4
0.055154,0.053044,0,0,7.8906,7.5781,0.070107,0.067996,0.014952,1
0.10005,0.070932,0,0,6.5625,3.125,0.13134,0.10223,0.031298,3
0.086259,0.066539,0,0,7.2656,2.3438,0.10145,0.081732,0.015192,5
0,0.22019,0.0075517,28.672,0,27.969,0.055564,0.27575,0.063116,2
0.05123,0.15754,0,16.484,0,21.875,0.073316,0.17962,0.022086,6
0.027875,0.048398,0,0,0,7.7344,0.042067,0.06259,0.014192,4
0.060599,0.062246,0,0,5.8594,8.5938,0.076713,0.07836,0.016113,1
0.044625,0.031549,0,0,3.8281,4.1406,0.055549,0.042473,0.010924,3
0.079095,0.05912,0,0,7.2656,2.8125,0.092326,0.072352,0.013231,5
0,0.19734,0.0063224,11.25,0,10.859,0.046136,0.24348,0.052459,2
0.037501,0.11882,0,0.39063,0,7.2656,0.052731,0.13405,0.01523,6
0.046173,0.042243,0,0,0,7.5,0.063603,0.059673,0.01743,4
0.059085,0.044284,0,0,5.625,6.4063,0.070992,0.05619,0.011906,1
0.11378,0.064059,0,0,32.109,35.938,0.14155,0.091833,0.027773,3
0.14432,0.080426,0,0,13.359,10.078,0.16365,0.099758,0.019332,5
0.0047627,0.16393,0,10.313,0,9.9219,0.04329,0.20246,0.038528,2
0.029149,0.073865,0,3.5156,0,7.1875,0.03986,0.084576,0.010711,6
0.036741,0.051717,0,0.078125,0,6.875,0.053812,0.068788,0.017071,4
0.050907,0.047204,0,0,4.1406,6.6406,0.063803,0.0601,0.012896,1
0.096719,0.057009,0,0,3.8281,3.6719,0.12257,0.082863,0.025855,3
0.11154,0.069196,0,0,8.5156,3.125,0.12625,0.083904,0.014708,5
0.002088,0.10865,0,3.6719,0,2.4219,0.038547,0.14511,0.036459,2
0.057954,0.15736,0,1.875,0,3.9063,0.081838,0.18124,0.023884,6
0.073768,0.063972,0,0,1.875,7.4219,0.099345,0.089549,0.025577,4
0.055375,0.05239,0,0,3.9063,7.6563,0.070112,0.067128,0.014737,1
0.046321,0.028481,0,0,0.46875,4.0625,0.05818,0.04034,0.011859,3
0.096784,0.068713,0,0,6.875,2.5,0.11284,0.084772,0.016059,5
0.0061132,0.15752,0,26.484,0,10.078,0.050906,0.20231,0.044793,2
0.035565,0.084368,0,6.3281,0,8.6719,0.049492,0.098294,0.013927,6
0.045754,0.060598,0,0,6.1719,14.688,0.063371,0.078216,0.017617,4
0.053293,0.050178,0,0,32.266,33.75,0.065401,0.062286,0.012108,1
0.070047,0.040369,0,0,5.3906,4.375,0.088282,0.058603,0.018234,3
0.086552,0.066645,0,0,7.7344,3.2813,0.10088,0.080976,0.014332,5
0,0.20155,0.012412,3.0469,0,1.7969,0.042642,0.24419,0.055054,2
0.045343,0.11809,0,2.8906,0,7.1094,0.062142,0.13489,0.016799,6
0.044877,0.049017,0,0,8.2031,11.016,0.059639,0.063778,0.014761,4
0.0689,0.058803,0,0,21.484,38.359,0.074731,0.064634,0.0058315,1
0.13751,0.055917,0,0,4.6875,4.7656,0.16566,0.084065,0.028149,3
0.14697,0.084973,0,0,2.5,0.9375,0.16913,0.10714,0.022165,5
0.0048555,0.11302,0,26.328,0,26.406,0.029568,0.13773,0.024713,2
0.015981,0.040345,0,5.1563,0,8.4375,0.02279,0.047154,0.006809,6
0.055784,0.071033,0,0,0.78125,583.67,0.061698,0.076947,0.0059146,4
